timestamp,gyro_rad0,gyro_rad1,gyro_rad2,acc0,acc1,acc2,gps_lat,gps_long,gps_alt,gps_alt_ellipsoid,gps_eph,gps_epv,att0,att1,att2,att3,est_lat,est_long,est_alt,est_alt_ellipsoid,est_eph,est_epv
104396000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.397734745487198893,8.5456124416255807574,487.933746337890625,487.96820068359375,0.31474202871322631836,0.31950330734252929688
124884000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.398675728920508732,8.5456019903645223934,492.9925537109375,492.967132568359375,0.29549553990364074707,0.30127698183059692383
1706115297105147,-4.01183e-21,-4.70601e-18,2.42437e-17,-8.81909e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00395528,-0.00201664,-0.00343387,47.397734170303444046,8.5456126641984635484,487.94671630859375,488.01544189453125,0.28703099489212036133,0.2992712855339050293
1706115297113147,3.82855e-17,1.32483e-18,3.03664e-17,-8.81849e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00395885,-0.00201382,-0.00343418,47.397734168661017407,8.5456126647733778867,487.9468994140625,488.015625,0.28772833943367004395,0.29986920952796936035
1706115297121147,3.82855e-17,1.32483e-18,3.03664e-17,-8.81849e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00395885,-0.00201382,-0.00343418,47.397734167027714136,8.5456126653482940014,487.94708251953125,488.01580810546875,0.28842890262603759766,0.29937690496444702148
1706115297125147,-1.00831e-17,-4.55003e-17,1.48466e-17,-8.8174e-12,1.71103e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00396462,-0.00200977,-0.00343478,47.397734167027714136,8.5456126653482940014,487.94708251953125,488.01580810546875,0.28842890262603759766,0.29937690496444702148
1706115297129147,-1.00831e-17,-4.55003e-17,1.48466e-17,-8.8174e-12,1.71103e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00396462,-0.00200977,-0.00343478,47.397734165404060036,8.5456126659216238295,487.947265625,488.0159912109375,0.28913259506225585938,0.29997628927230834961
1706115297133147,-1.07572e-12,2.3058e-17,1.49894e-17,-8.82098e-12,1.7092e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00396868,-0.00200719,-0.00343527,47.397734165404060036,8.5456126659216238295,487.947265625,488.0159912109375,0.28913259506225585938,0.29997628927230834961
1706115297145147,-6.06208e-17,-7.74433e-17,1.12488e-17,-8.81741e-12,1.70981e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00397505,-0.00200346,-0.00343609,47.397734162185152229,8.5456126670635352838,487.947601318359375,488.016326904296875,0.29054951667785644531,0.3011805117130279541
1706115297153147,4.84515e-17,-9.77588e-17,8.78724e-18,-8.81689e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00397949,-0.00200109,-0.00343671,47.397734160589365615,8.5456126676305306233,487.94775390625,488.0164794921875,0.29126274585723876953,0.30178537964820861816
1706115297161147,4.84515e-17,-9.77588e-17,8.78724e-18,-8.81689e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00397949,-0.00200109,-0.00343671,47.39773415900270237,8.545612668194360495,487.947906494140625,488.016632080078125,0.29197916388511657715,0.30239203572273254395
1706115297165147,5.04024e-17,-5.58635e-17,3.06114e-17,-8.81707e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00398627,-0.00199773,-0.00343774,47.39773415900270237,8.545612668194360495,487.947906494140625,488.016632080078125,0.29197916388511657715,0.30239203572273254395
1706115297169147,5.04024e-17,-5.58635e-17,3.06114e-17,-8.81707e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00398627,-0.00199773,-0.00343774,47.39773415742460827,8.5456126687534368358,487.948028564453125,488.016754150390625,0.29269877076148986816,0.30188077688217163086
1706115297173147,-1.66879e-17,-4.32544e-17,2.32915e-18,-8.82182e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00399064,-0.00199568,-0.00343848,47.39773415742460827,8.5456126687534368358,487.948028564453125,488.016754150390625,0.29269877076148986816,0.30188077688217163086
1706115297185147,9.43663e-17,-3.49352e-17,2.63505e-17,-8.81921e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00399693,-0.00199286,-0.00343968,47.397734154296827569,8.5456126698652550289,487.94830322265625,488.01702880859375,0.29414761066436767578,0.30309879779815673828
1706115297193147,2.33395e-17,-3.25435e-17,3.2619e-17,-8.82012e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.0040009,-0.00199117,-0.00344053,47.397734152746608061,8.5456126704148296369,487.94842529296875,488.01715087890625,0.29487681388854980469,0.30371055006980895996
1706115297201147,2.33395e-17,-3.25435e-17,3.2619e-17,-8.82012e-12,1.71042e-07,-9.8,-,-,-,-,-,-,0.999984,-0.0040009,-0.00199117,-0.00344053,47.397734150953560572,8.5456126658440147992,487.948394775390625,488.020355224609375,0.28452917933464050293,0.2976468205451965332
1706115297205147,1.07582e-12,-7.18617e-17,7.5047e-18,-8.81744e-12,1.71103e-07,-9.8,-,-,-,-,-,-,0.999984,-0.00400892,-0.00198929,-0.00344203,47.397734150953560572,8.5456126658440147992,487.948394775390625,488.020355224609375,0.28452917933464050293,0.2976468205451965332
