timestamp, gps_lat, gps_long, gps_alt, gps_alt_ellipsoid, gps_eph, gps_epv
1706115299449147, 47.397734857146211596, 8.5456105822878853928, 488.14599609375, 488.14599609375, 0.89999997615814208984, 1.7799999713897705078
1706115299573147, 47.397730418198712243, 8.5456122841219563924, 488.48199462890625, 488.48199462890625, 0.89999997615814208984, 1.7799999713897705078
1706115299697147, 47.397735247939273506, 8.5456131798302141789, 487.619781494140625, 487.619781494140625, 0.89999997615814208984, 1.7799999713897705078
1706115299821147, 47.397735033504353908, 8.5456133760832262425, 487.372894287109375, 487.372894287109375, 0.89999997615814208984, 1.7799999713897705078
1706115299949147, 47.397733408881570938, 8.5456144087283885113, 488.04632568359375, 488.04632568359375, 0.89999997615814208984, 1.7799999713897705078
1706115300073147, 47.397734852561214325, 8.5456138046564245059, 487.843017578125, 487.843017578125, 0.89999997615814208984, 1.7799999713897705078
1706115300197147, 47.397733167391550069, 8.5456119823656511159, 487.56658935546875, 487.56658935546875, 0.89999997615814208984, 1.7799999713897705078
1706115300321147, 47.397733902406798734, 8.5456115410713753278, 487.288543701171875, 487.288543701171875, 0.89999997615814208984, 1.7799999713897705078
1706115300449147, 47.397733263304409945, 8.5456131862082020945, 488.6514892578125, 488.6514892578125, 0.89999997615814208984, 1.7799999713897705078
1706115300573147, 47.397735628804866792, 8.5456126012475763787, 487.87091064453125, 487.87091064453125, 0.89999997615814208984, 1.7799999713897705078
1706115300697147, 47.397734519583778479, 8.5456139336301433218, 487.87744140625, 487.87744140625, 0.89999997615814208984, 1.7799999713897705078
1706115300821147, 47.397730294751426072, 8.5456134041334230744, 487.847015380859375, 487.847015380859375, 0.89999997615814208984, 1.7799999713897705078
1706115300949147, 47.397733579982741503, 8.545612562432483017, 487.39154052734375, 487.39154052734375, 0.89999997615814208984, 1.7799999713897705078
1706115301073147, 47.397736138113991444, 8.5456163007113730146, 488.340789794921875, 488.340789794921875, 0.89999997615814208984, 1.7799999713897705078
1706115301197147, 47.397736464722783012, 8.5456134695380328026, 487.73748779296875, 487.73748779296875, 0.89999997615814208984, 1.7799999713897705078
1706115301321147, 47.397732876308104721, 8.5456118312217448363, 488.663848876953125, 488.663848876953125, 0.89999997615814208984, 1.7799999713897705078
1706115301449147, 47.3977350534265085, 8.5456150799002355001, 487.237274169921875, 487.237274169921875, 0.89999997615814208984, 1.7799999713897705078
1706115301573147, 47.397733362658634348, 8.5456130981607287822, 488.42120361328125, 488.42120361328125, 0.89999997615814208984, 1.7799999713897705078
1706115301697147, 47.39773478381612648, 8.5456127904363032854, 487.447662353515625, 487.447662353515625, 0.89999997615814208984, 1.7799999713897705078
1706115301821147, 47.397736981434157144, 8.5456128072752086666, 488.487762451171875, 488.487762451171875, 0.89999997615814208984, 1.7799999713897705078
1706115301949147, 47.397733209640520613, 8.5456135527536645213, 487.107330322265625, 487.107330322265625, 0.89999997615814208984, 1.7799999713897705078
1706115302073147, 47.397733674613824917, 8.5456108878907688364, 486.77630615234375, 486.77630615234375, 0.89999997615814208984, 1.7799999713897705078
1706115302197147, 47.397733264337141179, 8.5456106581794237798, 488.571746826171875, 488.571746826171875, 0.89999997615814208984, 1.7799999713897705078
1706115302321147, 47.397736356703305205, 8.5456113270373030844, 488.3856201171875, 488.3856201171875, 0.89999997615814208984, 1.7799999713897705078
1706115302449147, 47.397732878857709693, 8.5456146750772497001, 487.893829345703125, 487.893829345703125, 0.89999997615814208984, 1.7799999713897705078
1706115302573147, 47.39773521901908282, 8.545610855556239116, 488.465423583984375, 488.465423583984375, 0.89999997615814208984, 1.7799999713897705078
1706115302697147, 47.397734197999142225, 8.5456118283490134502, 487.54241943359375, 487.54241943359375, 0.89999997615814208984, 1.7799999713897705078
1706115302821147, 47.397735425634557771, 8.5456103036193837852, 487.772308349609375, 487.772308349609375, 0.89999997615814208984, 1.7799999713897705078
1706115302949147, 47.397732849115996601, 8.5456092094095694733, 488.574615478515625, 488.574615478515625, 0.89999997615814208984, 1.7799999713897705078
1706115303073147, 47.39773433037711925, 8.5456114310400401735, 488.615203857421875, 488.615203857421875, 0.89999997615814208984, 1.7799999713897705078
1706115303197147, 47.397734330182139217, 8.5456121522174264271, 487.828643798828125, 487.828643798828125, 0.89999997615814208984, 1.7799999713897705078
1706115303321147, 47.397734994785885476, 8.5456107424578053866, 487.60565185546875, 487.60565185546875, 0.89999997615814208984, 1.7799999713897705078
1706115303449147, 47.397736792254960392, 8.5456112034500097963, 488.6295166015625, 488.6295166015625, 0.89999997615814208984, 1.7799999713897705078
1706115303573147, 47.397737641857375479, 8.5456130185877920979, 488.267791748046875, 488.267791748046875, 0.89999997615814208984, 1.7799999713897705078
1706115303697147, 47.39773006804789901, 8.5456135695828834287, 487.299346923828125, 487.299346923828125, 0.89999997615814208984, 1.7799999713897705078
1706115303821147, 47.397736380105627063, 8.545609617349720466, 488.308319091796875, 488.308319091796875, 0.89999997615814208984, 1.7799999713897705078
1706115303949147, 47.397735317811267919, 8.5456118914895071725, 487.06903076171875, 487.06903076171875, 0.89999997615814208984, 1.7799999713897705078
1706115304073147, 47.397736411168352788, 8.5456111921566666467, 488.10357666015625, 488.10357666015625, 0.89999997615814208984, 1.7799999713897705078
1706115304197147, 47.397736658104513197, 8.5456128103966619847, 489.069854736328125, 489.069854736328125, 0.89999997615814208984, 1.7799999713897705078
1706115304321147, 47.397732642202541342, 8.5456118711386857001, 487.744842529296875, 487.744842529296875, 0.89999997615814208984, 1.7799999713897705078
