timestamp, est_lat, est_long, est_alt, est_alt_ellipsoid, est_eph, est_epv
1706112526481011, 47.397742577732337566, 8.5455923213156896878, 487.9923095703125, 488.036468505859375, 0.29292124509811401367, 0.30205062031745910645
1706112526489011, 47.397742575958822897, 8.5455923215944356031, 487.9931640625, 488.037322998046875, 0.29364696145057678223, 0.30265799164772033691
1706112526505011, 47.397742572545297435, 8.5455923221887530872, 487.994781494140625, 488.0389404296875, 0.29510793089866638184, 0.30387827754020690918
1706112526513011, 47.397742576267987147, 8.5455923170576717496, 487.994537353515625, 488.030609130859375, 0.28471520543098449707, 0.29674750566482543945
1706112526521011, 47.397742579904701188, 8.5455923120544792226, 487.9942626953125, 488.03033447265625, 0.28540441393852233887, 0.29733690619468688965
1706112526529011, 47.397742583457961985, 8.5455923071756174636, 487.9940185546875, 488.03009033203125, 0.28609675168991088867, 0.29792812466621398926
1706112526545011, 47.397742590324028811, 8.5455922977778069338, 487.9935302734375, 488.02960205078125, 0.28749072551727294922, 0.29911604523658752441
1706112526553011, 47.397742593641623898, 8.5455922932513370682, 487.993316650390625, 488.029388427734375, 0.28819239139556884766, 0.29971274733543395996
1706112526561011, 47.397742596885393596, 8.5455922888357314093, 487.993072509765625, 488.029144287109375, 0.2888972163200378418, 0.29922094941139221191
1706112526569011, 47.397742600057462425, 8.5455922845270322341, 487.992828369140625, 488.028900146484375, 0.28960514068603515625, 0.29981914162635803223
1706112526585011, 47.397742606195365056, 8.5455922762196596665, 487.99237060546875, 488.0284423828125, 0.29103043675422668457, 0.30102100968360900879
1706112526593011, 47.397742609165241845, 8.5455922722146535619, 487.992156982421875, 488.028228759765625, 0.29174777865409851074, 0.30162471532821655273
1706112526601011, 47.397742612071333212, 8.5455922683058602729, 487.991943359375, 488.02801513671875, 0.29246830940246582031, 0.3022302091121673584
1706112526609011, 47.397742614915109982, 8.5455922644905122354, 487.991729736328125, 488.027801513671875, 0.29319196939468383789, 0.30171957612037658691
1706112526625011, 47.397742620421183801, 8.5455922571310374281, 487.991302490234375, 488.027374267578125, 0.29464679956436157227, 0.30293533205986022949
1706112526633011, 47.397742623086493552, 8.5455922535833508391, 487.9910888671875, 488.02716064453125, 0.29537990689277648926, 0.30354598164558410645
1706112526641011, 47.397742631350325837, 8.545592249477770963, 487.99078369140625, 488.023895263671875, 0.28495502471923828125, 0.29749777913093566895
1706112526649011, 47.397742639426731159, 8.5455922454735535609, 487.990509033203125, 488.02362060546875, 0.2856451869010925293, 0.29808890819549560547
1706112526665011, 47.397742655037617965, 8.5455922377612907326, 487.98992919921875, 488.023040771484375, 0.28703483939170837402, 0.29819747805595397949
1706112526673011, 47.397742662582004414, 8.5455922340484935518, 487.989654541015625, 488.02276611328125, 0.2877343297004699707, 0.29879194498062133789
1706112526681011, 47.397742669958688566, 8.5455922304283458146, 487.9893798828125, 488.022491455078125, 0.28843694925308227539, 0.29938820004463195801
1706112526689011, 47.397742677172274739, 8.5455922268980781809, 487.9891357421875, 488.022247314453125, 0.28914266824722290039, 0.29998633265495300293
1706112526705011, 47.397742691128115666, 8.5455922201000582561, 487.988616943359375, 488.021728515625, 0.2905635535717010498, 0.30118802189826965332
1706112526713011, 47.397742697878939566, 8.5455922168283446894, 487.988372802734375, 488.021484375, 0.29127871990203857422, 0.30068516731262207031
1706112526721011, 47.397742704483952991, 8.5455922136385922272, 487.98809814453125, 488.021209716796875, 0.29199701547622680664, 0.30128839612007141113
1706112526729011, 47.39774271094662339, 8.5455922105288202317, 487.98785400390625, 488.020965576171875, 0.29271847009658813477, 0.30189344286918640137
1706112526745011, 47.397742723458641478, 8.5455922045413039712, 487.987396240234375, 488.0205078125, 0.29417085647583007812, 0.30310907959938049316
1706112526753011, 47.397742729514661164, 8.545592201660786813, 487.9871826171875, 488.020294189453125, 0.29490178823471069336, 0.30371966958045959473
1706112526761011, 47.397742739722659167, 8.5455921976482560609, 487.987823486328125, 488.033355712890625, 0.28453591465950012207, 0.29660144448280334473
1706112526769011, 47.39774274970414325, 8.5455921937351071449, 487.98846435546875, 488.03399658203125, 0.28522416949272155762, 0.29719042778015136719
1706112526785011, 47.397742769011109942, 8.5455921861942893969, 487.98968505859375, 488.03521728515625, 0.28660994768142700195, 0.29837381839752197266
1706112526793011, 47.397742778348032289, 8.5455921825622631616, 487.990264892578125, 488.035797119140625, 0.28730750083923339844, 0.29896822571754455566
1706112526801011, 47.397742787481341509, 8.5455921790197226784, 487.990814208984375, 488.036346435546875, 0.28800818324089050293, 0.29956451058387756348
1706112526809011, 47.397742796416416411, 8.5455921755646837568, 487.991363525390625, 488.036895751953125, 0.28871199488639831543, 0.29907384514808654785
1706112526825011, 47.397742813711971621, 8.5455921689048484069, 487.992401123046875, 488.037933349609375, 0.29012715816497802734, 0.30027118325233459473
1706112526833011, 47.39774282208276901, 8.5455921656968829581, 487.992919921875, 488.0384521484375, 0.29084035754203796387, 0.30087259411811828613
1706112526841011, 47.397742830275433334, 8.5455921625677095932, 487.993408203125, 488.0389404296875, 0.2915566563606262207, 0.30147582292556762695
1706112526849011, 47.397742838294213641, 8.5455921595149568759, 487.993896484375, 488.0394287109375, 0.29227614402770996094, 0.30208089947700500488
1706112526865011, 47.39774285382710417, 8.5455921536331569399, 487.994781494140625, 488.040313720703125, 0.29372453689575195312, 0.30217355489730834961
1706112526873011, 47.397742861349257737, 8.545592150799757647, 487.9952392578125, 488.040771484375, 0.29445347189903259277, 0.30278190970420837402
