timestamp,gyro_rad0,gyro_rad1,gyro_rad2,acc0,acc1,acc2,gps_lat,gps_long,gps_alt,gps_alt_ellipsoid,gps_eph,gps_epv,att0,att1,att2,att3,est_lat,est_long,est_alt,est_alt_ellipsoid,est_eph,est_epv
11728336000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.397741783019263551,8.5455960141321725132,492.943115234375,492.87115478515625,0.28891235589981079102,0.29999271035194396973
1706113072375793,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.397742373341500866,8.5455956119614953082,492.910736083984375,492.87506103515625,0.28921830654144287109,0.30029135942459106445
1706113072383793,0.00598394,-0.00602502,0.000738007,0.00105911,0.00403424,-9.81396,-,-,-,-,-,-,-0.000528914,0.00157028,-0.00169119,0.999997,47.397742374815884148,8.5455956118609002203,492.910858154296875,492.87518310546875,0.28992486000061035156,0.30089223384857177734
1706113072391793,0.00598394,-0.00602502,0.000738007,0.00105911,0.00403424,-9.81396,-,-,-,-,-,-,-0.000528914,0.00157028,-0.00169119,0.999997,47.397742376258953811,8.5455956118364504448,492.91094970703125,492.875274658203125,0.29063451290130615234,0.30039173364639282227
1706113072395793,0.00523749,-0.00559691,0.000757843,0.00112816,0.00407409,-9.81014,-,-,-,-,-,-,-0.000533626,0.00160359,-0.00165608,0.999997,47.397742376258953811,8.5455956118364504448,492.91094970703125,492.875274658203125,0.29063451290130615234,0.30039173364639282227
1706113072403793,0.00485221,-0.00502201,0.000781404,0.00117093,0.00409397,-9.80854,-,-,-,-,-,-,-0.000537501,0.00162343,-0.00163466,0.999997,47.397742376258953811,8.5455956118364504448,492.91094970703125,492.875274658203125,0.29063451290130615234,0.30039173364639282227
1706113072407793,0.00485221,-0.00502201,0.000781404,0.00117093,0.00409397,-9.80854,-,-,-,-,-,-,-0.000537501,0.00162343,-0.00163466,0.999997,47.397742379051351236,8.5455956120067320114,492.91119384765625,492.875518798828125,0.29206317663192749023,0.3015982508659362793
1706113072415793,0.00417866,-0.00407549,0.000822829,0.00119514,0.00416003,-9.80605,-,-,-,-,-,-,-0.000544222,0.00164871,-0.00160574,0.999997,47.397742380400764262,8.5455956121975553685,492.91131591796875,492.875640869140625,0.29278221726417541504,0.30220425128936767578
1706113072423793,0.00367711,-0.00340222,0.000853198,0.00121058,0.00420338,-9.80494,-,-,-,-,-,-,-0.000549226,0.00166238,-0.00158892,0.999997,47.397742381719091043,8.5455956124563314802,492.911468505859375,492.87579345703125,0.29350438714027404785,0.30281209945678710938
1706113072431793,0.00367711,-0.00340222,0.000853198,0.00121058,0.00420338,-9.80494,-,-,-,-,-,-,-0.000549226,0.00166238,-0.00158892,0.999997,47.39774238300642395,8.5455956127812537915,492.911590576171875,492.87591552734375,0.29422968626022338867,0.30342179536819458008
