timestamp, att0, att1, att2, att3
1706117337680730, 0.723961, -0.000243093, -0.000361888, 0.689841
1706117337692730, 0.723961, -0.000252496, -0.000367451, 0.689841
1706117337700730, 0.723961, -0.0002586, -0.000371246, 0.689841
1706117337712730, 0.723961, -0.000267524, -0.000377061, 0.689841
1706117337720730, 0.723961, -0.000273314, -0.000381022, 0.689841
1706117337732730, 0.72396, -0.000281785, -0.000387075, 0.689841
1706117337740730, 0.72396, -0.000287195, -0.000391063, 0.689842
1706117337752730, 0.72396, -0.000294715, -0.000396745, 0.689842
1706117337760730, 0.72396, -0.000299289, -0.0004003, 0.689842
1706117337772730, 0.72396, -0.000305513, -0.000405269, 0.689842
1706117337780730, 0.72396, -0.00030914, -0.000409319, 0.689842
1706117337792730, 0.72396, -0.00031381, -0.000416496, 0.689842
1706117337800730, 0.72396, -0.000316532, -0.000421022, 0.689842
1706117337812730, 0.72396, -0.000320044, -0.000427414, 0.689842
1706117337820730, 0.72396, -0.00032206, -0.000431439, 0.689842
1706117337832730, 0.72396, -0.000324619, -0.000437131, 0.689842
1706117337840730, 0.72396, -0.000325997, -0.000440674, 0.689842
1706117337852730, 0.72396, -0.00032762, -0.000445638, 0.689842
1706117337860730, 0.72396, -0.000328466, -0.000448755, 0.689842
1706117337872730, 0.72396, -0.000329426, -0.000453066, 0.689842
1706117337880730, 0.72396, -0.000329865, -0.000455623, 0.689842
1706117337892730, 0.723959, -0.000330263, -0.000459011, 0.689842
1706117337896730, 0.723959, -0.000330357, -0.000460068, 0.689842
1706117337912730, 0.723959, -0.000333785, -0.000465286, 0.689843
1706117337920730, 0.723959, -0.000337055, -0.000468407, 0.689843
1706117337932730, 0.723959, -0.000341836, -0.00047274, 0.689843
1706117337940730, 0.723959, -0.000344967, -0.000475438, 0.689843
1706117337952730, 0.723958, -0.000349599, -0.000479214, 0.689843
1706117337956730, 0.723958, -0.000351124, -0.000480378, 0.689843
1706117337972730, 0.723958, -0.000357196, -0.000484786, 0.689844
1706117337980730, 0.723958, -0.000360217, -0.000486819, 0.689844
1706117337992730, 0.723958, -0.000364744, -0.000489694, 0.689844
1706117338000730, 0.723958, -0.0003676, -0.000491415, 0.689844
1706117338012730, 0.723958, -0.000371567, -0.000493691, 0.689844
1706117338020730, 0.723957, -0.000374031, -0.000495041, 0.689844
1706117338032730, 0.723957, -0.00037674, -0.000493544, 0.689845
1706117338040730, 0.723957, -0.000378106, -0.000491282, 0.689845
1706117338052730, 0.723957, -0.000379858, -0.000487659, 0.689845
1706117338060730, 0.723956, -0.000380854, -0.000485117, 0.689846
1706117338072730, 0.723956, -0.000382091, -0.000481127, 0.689846
1706117338080730, 0.723956, -0.000382721, -0.000478339, 0.689846
1706117338092730, 0.723955, -0.000383392, -0.000473987, 0.689847
1706117338100730, 0.723955, -0.00038369, -0.000470998, 0.689847
1706117338112730, 0.723955, -0.000383931, -0.000466396, 0.689847
1706117338120730, 0.723955, -0.000383982, -0.000463411, 0.689847
1706117338132730, 0.723954, -0.000383935, -0.000459162, 0.689848
1706117338140730, 0.723954, -0.000383841, -0.00045647, 0.689848
1706117338152730, 0.723954, -0.000383622, -0.000452654, 0.689848
1706117338160730, 0.723953, -0.000383533, -0.00044835, 0.689849
1706117338172730, 0.723953, -0.000383349, -0.000442174, 0.689849
1706117338180730, 0.723953, -0.000383206, -0.000438224, 0.689849
1706117338192730, 0.723953, -0.000382973, -0.000432559, 0.68985
1706117338200730, 0.723952, -0.000382814, -0.000428986, 0.68985
1706117338212730, 0.723952, -0.000382579, -0.00042392, 0.68985
1706117338220956, 0.723952, -0.00038243, -0.000420705, 0.68985
1706117338232956, 0.723951, -0.000382222, -0.000416116, 0.689851
1706117338240956, 0.723951, -0.000382098, -0.000413224, 0.689851
1706117338252956, 0.723951, -0.000381932, -0.000409309, 0.689851
1706117338260956, 0.723951, -0.000381833, -0.000406938, 0.689852
1706117338272956, 0.72395, -0.000381704, -0.000403723, 0.689852
1706117338280956, 0.72395, -0.000381634, -0.00040183, 0.689852
1706117338292956, 0.72395, -0.000382534, -0.000403153, 0.689852
1706117338300956, 0.72395, -0.000383148, -0.000404232, 0.689853
1706117338312956, 0.72395, -0.00038409, -0.000406129, 0.689853
1706117338316956, 0.723949, -0.000384412, -0.000406862, 0.689853
1706117338332956, 0.723949, -0.000385722, -0.000410076, 0.689853
1706117338340956, 0.723949, -0.000386391, -0.000411881, 0.689853
1706117338352956, 0.723949, -0.000387412, -0.000414794, 0.689853
1706117338360956, 0.723949, -0.000388104, -0.000416877, 0.689853
1706117338372956, 0.723949, -0.000389141, -0.000420123, 0.689854
1706117338380956, 0.723949, -0.000389802, -0.000422234, 0.689854
